neighborhood,avg_rent,crime_count,transit_score,bu_distance_miles,amenity_count,rent_norm,crime_norm,transit_norm,bu_norm,amenity_norm,final_score
Allston,3653.71,5407,35,1.31,121,0.6673077249791883,0.9267039358518268,0.6071428571428571,0.8861386138613861,0.9655172413793104,0.7896544013474894
Back Bay,3446.92,9813,57,1.27,125,0.7375715669118772,0.8437705874602368,0.9999999999999999,0.8927392739273927,0.9999999999999999,0.8787802620252225
Beacon Hill,3433.75,2604,41,1.95,25,0.7420465163690728,0.9794643025203758,0.7142857142857142,0.7805280528052805,0.13793103448275862,0.7232399366173274
Brighton,3031.61,11415,27,2.54,74,0.8786870763323762,0.8136164285579837,0.46428571428571425,0.6831683168316831,0.5603448275862069,0.6955563540320601
Charlestown,3326.28,3948,23,2.91,16,0.7785630553337524,0.9541664313814068,0.39285714285714285,0.6221122112211221,0.06034482758620689,0.6090053032370351
Chinatown,3749.53,1513,43,2.24,47,0.6347496644637365,1.0,0.7499999999999999,0.7326732673267327,0.3275862068965517,0.7112480170036092
Dorchester,3048.19,54640,30,4.19,43,0.8730534649428314,0.0,0.5178571428571428,0.4108910891089108,0.2931034482758621,0.47441246636739587
East Boston,3042.5,12496,33,4.84,117,0.8749868333871325,0.7932689592862386,0.5714285714285714,0.30363036303630364,0.9310344827586207,0.6362153237121863
Fenway,3763.62,5658,53,0.62,99,0.6299621141332972,0.921979407834058,0.9285714285714285,1.0,0.7758620689655172,0.8590879323192704
Hyde Park,2674.58,10070,3,6.68,9,1.0,0.8389331225177405,0.03571428571428571,0.0,0.0,0.3829828255205182
Jamaica Plain,3120.94,13448,23,2.99,49,0.8483342111075245,0.7753496338961356,0.39285714285714285,0.6089108910891089,0.3448275862068966,0.6241134523801523
Mission Hill,5617.63,3348,43,1.3,12,0.0,0.9654601238541608,0.7499999999999999,0.8877887788778878,0.025862068965517238,0.5637418591380422
North End,3491.5,1971,25,2.83,64,0.7224240159018704,0.9913791480791312,0.42857142857142855,0.6353135313531353,0.47413793103448276,0.6530350144110119
Roslindale,2817.14,4955,2,4.82,13,0.9515604559895348,0.9352118508479681,0.017857142857142856,0.30693069306930687,0.034482758620689655,0.47727080397886845
Roxbury,3734.49,28153,45,2.41,15,0.6398600091741562,0.4985600542097238,0.7857142857142856,0.7046204620462047,0.05172413793103449,0.6084504199748195
South Boston,3511.01,14064,55,3.29,38,0.7157948386877557,0.7637547762907749,0.9642857142857142,0.5594059405940595,0.25,0.6791908511509158
South Boston Waterfront,4093.26,1904,44,3.27,56,0.5179558621158322,0.992640277071922,0.7678571428571428,0.5627062706270627,0.4051724137931034,0.6412855582286041
South End,4024.55,15430,51,1.85,56,0.5413023903773295,0.7380428030944717,0.8928571428571428,0.7970297029702971,0.4051724137931034,0.7042295989003312
West End,3627.86,4103,29,2.26,23,0.6760911299502217,0.9512488941592787,0.49999999999999994,0.7293729372937294,0.1206896551724138,0.6425909633168073
West Roxbury,2800.42,7823,1,5.58,16,0.9572416370771818,0.8812280008282041,0.0,0.1815181518151815,0.06034482758620689,0.43198453769670114
